State,Amount (INR),Transactions,ATV
Andaman & Nicobar Islands,3641817860.751212,1223565,2976.39917842633
Andhra Pradesh,3187847468851.5107,1781091169,1789.8283503597063
Arunachal Pradesh,22251830956.906673,8043799,2766.3335392774825
Assam,281408712657.43585,123577981,2277.175192378615
Bihar,1639578926751.5103,713643889,2297.474905935207
Chandigarh,53712084630.81802,25516542,2104.990740156641
Chhattisgarh,415635319208.1512,241908549,1718.1506024747855
Dadra & Nagar Haveli and Daman & Diu,18658784568.339622,12462185,1497.2321922953015
Delhi,1649942211116.0786,1011031124,1631.940077757763
Goa,44271871113.08532,24481604,1808.3729772397805
Gujarat,1105328681946.77,612992823,1803.167411548585
Haryana,1059831565199.8192,567751410,1866.7176277022706
Himachal Pradesh,97865455329.55698,52987445,1846.955544460711
Jammu & Kashmir,109495435910.39012,45053328,2430.351780236748
Jharkhand,490570131446.5163,275270987,1782.1352580339908
Karnataka,4361395878908.125,2981044533,1463.042846434433
Kerala,372959870819.68585,223637876,1667.6954614775802
Ladakh,6606978450.495937,1880109,3514.146493897927
Lakshadweep,192158684.67372528,71610,2683.405734865595
Madhya Pradesh,1915100967832.5479,1100253728,1740.5993900277408
Maharashtra,4290995253332.024,2833670154,1514.2888974833108
Manipur,35793251136.46254,12318043,2905.7579305789513
Meghalaya,12541621895.083885,5648913,2220.1832273012324
Mizoram,6317141434.545231,2162776,2920.8486845356297
Nagaland,16387572679.276419,5864977,2794.140996507986
Odisha,1220614556987.253,740479146,1648.411793338003
Puducherry,32097692614.549103,17292386,1856.1748861348053
Punjab,394177285102.1967,181336904,2173.7289895618637
Rajasthan,2625584351280.9785,1382918930,1898.5815396141686
Sikkim,14155544437.923409,6483948,2183.16748344117
Tamil Nadu,1481448044165.0588,800399873,1850.884906581012
Telangana,4574245879737.879,2347430243,1948.618449207685
Tripura,20970514761.531715,12018152,1744.9034395247884
Uttar Pradesh,2399757104087.3774,1314714390,1825.3067908440382
Uttarakhand,215071471849.1996,124011162,1734.2912394385885
West Bengal,1452706824854.8677,942286041,1541.6834821337097
