State,Amount (INR),Registered Users,AvgAmountPerUser
Andaman & Nicobar Islands,3641817860.751212,408396,8917.369074993909
Andhra Pradesh,3187847468851.5107,158007957,20175.233762762407
Arunachal Pradesh,22251830956.906673,1862214,11949.126661547316
Assam,281408712657.43585,26860751,10476.576498454413
Bihar,1639578926751.5103,115284760,14221.991933292053
Chandigarh,53712084630.81802,3801466,14129.308175008806
Chhattisgarh,415635319208.1512,37448388,11098.884128420994
Dadra & Nagar Haveli and Daman & Diu,18658784568.339622,2701112,6907.815954443808
Delhi,1649942211116.0786,95374654,17299.587908503225
Goa,44271871113.08532,4755320,9309.966755777807
Gujarat,1105328681946.77,126380032,8746.070597187141
Haryana,1059831565199.8192,85564119,12386.401888855062
Himachal Pradesh,97865455329.55698,13373980,7317.601441721685
Jammu & Kashmir,109495435910.39012,9756438,11222.890558048965
Jharkhand,490570131446.5163,44768682,10957.886395818316
Karnataka,4361395878908.125,203098564,21474.282205698535
Kerala,372959870819.68585,51267042,7274.8466903880635
Ladakh,6606978450.495937,579825,11394.780236271181
Lakshadweep,192158684.67372528,34223,5614.898888867875
Madhya Pradesh,1915100967832.5479,125339823,15279.269764347344
Maharashtra,4290995253332.024,315783658,13588.401884089973
Manipur,35793251136.46254,2317734,15443.209245091344
Meghalaya,12541621895.083885,1436472,8730.850232433271
Mizoram,6317141434.545231,605612,10431.004396453885
Nagaland,16387572679.276419,1440387,11377.201182235343
Odisha,1220614556987.253,80404103,15180.998375011446
Puducherry,32097692614.549103,2785162,11524.533443494167
Punjab,394177285102.1967,45811761,8604.281444282326
Rajasthan,2625584351280.9785,149770064,17530.768707429936
Sikkim,14155544437.923409,1279199,11065.943952366604
Tamil Nadu,1481448044165.0588,132437426,11186.022629019224
Telangana,4574245879737.879,149224214,30653.509622358466
Tripura,20970514761.531715,3661575,5727.184274944993
Uttar Pradesh,2399757104087.3774,246200404,9747.169643504636
Uttarakhand,215071471849.1996,23792747,9039.371193633067
West Bengal,1452706824854.8677,144242183,10071.303655012402
