State,Period,Transaction Type,Transactions
Andaman & Nicobar Islands,2018-Q1,Recharge & bill payments,4200
Andaman & Nicobar Islands,2018-Q2,Recharge & bill payments,6735
Andaman & Nicobar Islands,2018-Q3,Recharge & bill payments,8636
Andaman & Nicobar Islands,2018-Q4,Recharge & bill payments,11517
Andaman & Nicobar Islands,2019-Q1,Recharge & bill payments,15263
Andaman & Nicobar Islands,2019-Q2,Recharge & bill payments,14676
Andaman & Nicobar Islands,2019-Q3,Recharge & bill payments,16219
Andaman & Nicobar Islands,2019-Q4,Peer-to-peer payments,18128
Andaman & Nicobar Islands,2020-Q1,Peer-to-peer payments,18324
Andaman & Nicobar Islands,2020-Q2,Recharge & bill payments,38125
Andaman & Nicobar Islands,2020-Q3,Recharge & bill payments,59310
Andaman & Nicobar Islands,2020-Q4,Peer-to-peer payments,81439
Andaman & Nicobar Islands,2021-Q1,Peer-to-peer payments,105458
Andaman & Nicobar Islands,2021-Q2,Peer-to-peer payments,132772
Andhra Pradesh,2018-Q1,Recharge & bill payments,5027448
Andhra Pradesh,2018-Q2,Recharge & bill payments,6456387
Andhra Pradesh,2018-Q3,Peer-to-peer payments,16129591
Andhra Pradesh,2018-Q4,Peer-to-peer payments,17580086
Andhra Pradesh,2019-Q1,Peer-to-peer payments,37420988
Andhra Pradesh,2019-Q2,Peer-to-peer payments,32494402
Andhra Pradesh,2019-Q3,Peer-to-peer payments,39023491
Andhra Pradesh,2019-Q4,Peer-to-peer payments,57181511
Andhra Pradesh,2020-Q1,Peer-to-peer payments,65452143
Andhra Pradesh,2020-Q2,Peer-to-peer payments,73609921
Andhra Pradesh,2020-Q3,Peer-to-peer payments,106791894
Andhra Pradesh,2020-Q4,Peer-to-peer payments,152003791
Andhra Pradesh,2021-Q1,Peer-to-peer payments,149313738
Andhra Pradesh,2021-Q2,Peer-to-peer payments,189614879
Arunachal Pradesh,2018-Q1,Recharge & bill payments,28729
Arunachal Pradesh,2018-Q2,Recharge & bill payments,50700
Arunachal Pradesh,2018-Q3,Recharge & bill payments,74122
Arunachal Pradesh,2018-Q4,Recharge & bill payments,97751
Arunachal Pradesh,2019-Q1,Recharge & bill payments,121303
Arunachal Pradesh,2019-Q2,Recharge & bill payments,131988
Arunachal Pradesh,2019-Q3,Recharge & bill payments,216228
Arunachal Pradesh,2019-Q4,Recharge & bill payments,259183
Arunachal Pradesh,2020-Q1,Recharge & bill payments,329834
Arunachal Pradesh,2020-Q2,Recharge & bill payments,522495
Arunachal Pradesh,2020-Q3,Recharge & bill payments,514907
Arunachal Pradesh,2020-Q4,Peer-to-peer payments,522019
Arunachal Pradesh,2021-Q1,Peer-to-peer payments,566209
Arunachal Pradesh,2021-Q2,Peer-to-peer payments,762946
Assam,2018-Q1,Recharge & bill payments,632092
Assam,2018-Q2,Recharge & bill payments,984160
Assam,2018-Q3,Recharge & bill payments,1275136
Assam,2018-Q4,Recharge & bill payments,1703488
Assam,2019-Q1,Recharge & bill payments,1993220
Assam,2019-Q2,Recharge & bill payments,2512932
Assam,2019-Q3,Peer-to-peer payments,2713539
Assam,2019-Q4,Peer-to-peer payments,3222143
Assam,2020-Q1,Peer-to-peer payments,4058740
Assam,2020-Q2,Recharge & bill payments,6045321
Assam,2020-Q3,Peer-to-peer payments,5637893
Assam,2020-Q4,Peer-to-peer payments,7538478
Assam,2021-Q1,Peer-to-peer payments,9449096
Assam,2021-Q2,Peer-to-peer payments,11668399
Bihar,2018-Q1,Recharge & bill payments,3159922
Bihar,2018-Q2,Recharge & bill payments,4346849
Bihar,2018-Q3,Peer-to-peer payments,8893764
Bihar,2018-Q4,Peer-to-peer payments,8094296
Bihar,2019-Q1,Peer-to-peer payments,16807040
Bihar,2019-Q2,Peer-to-peer payments,15837449
Bihar,2019-Q3,Peer-to-peer payments,15446119
Bihar,2019-Q4,Peer-to-peer payments,26337842
Bihar,2020-Q1,Peer-to-peer payments,23163922
Bihar,2020-Q2,Peer-to-peer payments,26572651
Bihar,2020-Q3,Peer-to-peer payments,37294332
Bihar,2020-Q4,Peer-to-peer payments,49432098
Bihar,2021-Q1,Peer-to-peer payments,58566582
Bihar,2021-Q2,Peer-to-peer payments,78694099
Chandigarh,2018-Q1,Recharge & bill payments,201262
Chandigarh,2018-Q2,Recharge & bill payments,224548
Chandigarh,2018-Q3,Peer-to-peer payments,295358
Chandigarh,2018-Q4,Peer-to-peer payments,431461
Chandigarh,2019-Q1,Peer-to-peer payments,689400
Chandigarh,2019-Q2,Peer-to-peer payments,604849
Chandigarh,2019-Q3,Peer-to-peer payments,722233
Chandigarh,2019-Q4,Peer-to-peer payments,927850
Chandigarh,2020-Q1,Peer-to-peer payments,1087401
Chandigarh,2020-Q2,Peer-to-peer payments,766698
Chandigarh,2020-Q3,Peer-to-peer payments,981986
Chandigarh,2020-Q4,Merchant payments,1322026
Chandigarh,2021-Q1,Merchant payments,1799072
Chandigarh,2021-Q2,Merchant payments,1926913
Chhattisgarh,2018-Q1,Recharge & bill payments,1177618
Chhattisgarh,2018-Q2,Recharge & bill payments,1643461
Chhattisgarh,2018-Q3,Recharge & bill payments,1911374
Chhattisgarh,2018-Q4,Recharge & bill payments,2438959
Chhattisgarh,2019-Q1,Peer-to-peer payments,4068056
Chhattisgarh,2019-Q2,Peer-to-peer payments,4350167
Chhattisgarh,2019-Q3,Peer-to-peer payments,5021844
Chhattisgarh,2019-Q4,Peer-to-peer payments,7241974
Chhattisgarh,2020-Q1,Peer-to-peer payments,8109789
Chhattisgarh,2020-Q2,Recharge & bill payments,8366200
Chhattisgarh,2020-Q3,Peer-to-peer payments,9734445
Chhattisgarh,2020-Q4,Peer-to-peer payments,14257312
Chhattisgarh,2021-Q1,Peer-to-peer payments,15621154
Chhattisgarh,2021-Q2,Peer-to-peer payments,18387345
Dadra & Nagar Haveli and Daman & Diu,2018-Q1,Recharge & bill payments,95544
Dadra & Nagar Haveli and Daman & Diu,2018-Q2,Recharge & bill payments,122834
Dadra & Nagar Haveli and Daman & Diu,2018-Q3,Recharge & bill payments,157113
Dadra & Nagar Haveli and Daman & Diu,2018-Q4,Peer-to-peer payments,194214
Dadra & Nagar Haveli and Daman & Diu,2019-Q1,Peer-to-peer payments,408465
Dadra & Nagar Haveli and Daman & Diu,2019-Q2,Peer-to-peer payments,244134
Dadra & Nagar Haveli and Daman & Diu,2019-Q3,Recharge & bill payments,319142
Dadra & Nagar Haveli and Daman & Diu,2019-Q4,Recharge & bill payments,351819
Dadra & Nagar Haveli and Daman & Diu,2020-Q1,Recharge & bill payments,407577
Dadra & Nagar Haveli and Daman & Diu,2020-Q2,Recharge & bill payments,525974
Dadra & Nagar Haveli and Daman & Diu,2020-Q3,Recharge & bill payments,455603
Dadra & Nagar Haveli and Daman & Diu,2020-Q4,Peer-to-peer payments,666995
Dadra & Nagar Haveli and Daman & Diu,2021-Q1,Peer-to-peer payments,768921
Dadra & Nagar Haveli and Daman & Diu,2021-Q2,Peer-to-peer payments,843550
Delhi,2018-Q1,Recharge & bill payments,3947297
Delhi,2018-Q2,Recharge & bill payments,4511737
Delhi,2018-Q3,Peer-to-peer payments,8557153
Delhi,2018-Q4,Peer-to-peer payments,9973249
Delhi,2019-Q1,Peer-to-peer payments,20216287
Delhi,2019-Q2,Merchant payments,20891431
Delhi,2019-Q3,Merchant payments,29453368
Delhi,2019-Q4,Peer-to-peer payments,33040093
Delhi,2020-Q1,Merchant payments,33951545
Delhi,2020-Q2,Peer-to-peer payments,27155938
Delhi,2020-Q3,Peer-to-peer payments,41498638
Delhi,2020-Q4,Merchant payments,54581166
Delhi,2021-Q1,Merchant payments,72615587
Delhi,2021-Q2,Merchant payments,75620295
Goa,2018-Q1,Recharge & bill payments,85991
Goa,2018-Q2,Recharge & bill payments,120943
Goa,2018-Q3,Recharge & bill payments,158797
Goa,2018-Q4,Peer-to-peer payments,246426
Goa,2019-Q1,Peer-to-peer payments,378848
Goa,2019-Q2,Peer-to-peer payments,373759
Goa,2019-Q3,Peer-to-peer payments,475178
Goa,2019-Q4,Peer-to-peer payments,698728
Goa,2020-Q1,Peer-to-peer payments,817198
Goa,2020-Q2,Recharge & bill payments,758617
Goa,2020-Q3,Peer-to-peer payments,759351
Goa,2020-Q4,Peer-to-peer payments,1550251
Goa,2021-Q1,Peer-to-peer payments,2235456
Goa,2021-Q2,Merchant payments,1869384
Gujarat,2018-Q1,Recharge & bill payments,3691952
Gujarat,2018-Q2,Recharge & bill payments,4643367
Gujarat,2018-Q3,Peer-to-peer payments,5287200
Gujarat,2018-Q4,Peer-to-peer payments,6488202
Gujarat,2019-Q1,Peer-to-peer payments,13465044
Gujarat,2019-Q2,Peer-to-peer payments,12547493
Gujarat,2019-Q3,Peer-to-peer payments,14529353
Gujarat,2019-Q4,Peer-to-peer payments,19107911
Gujarat,2020-Q1,Peer-to-peer payments,19068093
Gujarat,2020-Q2,Recharge & bill payments,19971660
Gujarat,2020-Q3,Peer-to-peer payments,23130724
Gujarat,2020-Q4,Peer-to-peer payments,29967258
Gujarat,2021-Q1,Peer-to-peer payments,36427493
Gujarat,2021-Q2,Merchant payments,42593432
Haryana,2018-Q1,Recharge & bill payments,2368002
Haryana,2018-Q2,Recharge & bill payments,3054284
Haryana,2018-Q3,Peer-to-peer payments,3753981
Haryana,2018-Q4,Peer-to-peer payments,5905032
Haryana,2019-Q1,Peer-to-peer payments,12622225
Haryana,2019-Q2,Peer-to-peer payments,10387562
Haryana,2019-Q3,Peer-to-peer payments,11775288
Haryana,2019-Q4,Peer-to-peer payments,15729819
Haryana,2020-Q1,Peer-to-peer payments,17728235
Haryana,2020-Q2,Peer-to-peer payments,17334369
Haryana,2020-Q3,Peer-to-peer payments,24123449
Haryana,2020-Q4,Merchant payments,34063692
Haryana,2021-Q1,Merchant payments,39363588
Haryana,2021-Q2,Merchant payments,45335533
