State,Brand,Registered Users
Andaman & Nicobar Islands,Xiaomi,97889
Andhra Pradesh,Xiaomi,40061549
Arunachal Pradesh,Xiaomi,437803
Assam,Xiaomi,6979357
Bihar,Xiaomi,33721314
Chandigarh,Xiaomi,896628
Chhattisgarh,Xiaomi,8763373
Dadra & Nagar Haveli and Daman & Diu,Xiaomi,638834
Delhi,Xiaomi,24114984
Goa,Xiaomi,1208672
Gujarat,Xiaomi,28942157
Haryana,Xiaomi,21102142
Himachal Pradesh,Xiaomi,3978888
Jammu & Kashmir,Xiaomi,3471820
Jharkhand,Xiaomi,12824023
Karnataka,Xiaomi,52595345
Kerala,Xiaomi,12271469
Ladakh,Xiaomi,167017
Lakshadweep,Xiaomi,6979
Madhya Pradesh,Xiaomi,32789227
Maharashtra,Xiaomi,80281858
Manipur,Xiaomi,1079740
Meghalaya,Xiaomi,347937
Mizoram,Xiaomi,193013
Nagaland,Xiaomi,440693
Odisha,Xiaomi,22935907
Puducherry,Xiaomi,637639
Punjab,Xiaomi,11064360
Rajasthan,Xiaomi,33767499
Sikkim,Samsung,406392
Tamil Nadu,Xiaomi,31519236
Telangana,Xiaomi,38954882
Tripura,Xiaomi,913017
Uttar Pradesh,Xiaomi,64303360
Uttarakhand,Xiaomi,5519705
West Bengal,Xiaomi,38265764
