Density,Transactions
89.0,5688
89.0,9395
89.0,13511
89.0,20136
89.0,25683
89.0,28490
89.0,27421
89.0,27843
89.0,32713
89.0,48088
89.0,95323
89.0,186494
89.0,207092
89.0,286907
213.0,638664
275.0,830324
477.0,943935
429.0,815932
519.0,863935
229.0,679623
192.0,534757
462.0,458921
384.0,1256469
358.0,420990
490.0,577090
213.0,937023
275.0,1185723
477.0,1221677
429.0,1088101
519.0,1224987
229.0,968439
192.0,739991
462.0,559868
384.0,1641192
358.0,529588
490.0,786033
213.0,1815215
275.0,2297429
477.0,3226907
429.0,1912529
519.0,2396934
229.0,2921189
192.0,1319651
462.0,1073883
384.0,3394576
358.0,970132
490.0,1431282
213.0,2286391
275.0,3166201
477.0,3052762
429.0,2546620
519.0,2839161
229.0,2508530
192.0,1692862
462.0,1252807
384.0,4791421
358.0,1386787
490.0,1688482
213.0,3891336
275.0,6486813
477.0,5440146
429.0,4846553
519.0,5443981
229.0,4193432
192.0,2931081
462.0,2526855
384.0,9690866
358.0,2798241
490.0,2829437
213.0,3578836
275.0,5983308
477.0,4699261
429.0,5005275
519.0,6428472
229.0,3895824
192.0,2670529
462.0,2019203
384.0,11705738
358.0,2272320
490.0,2402074
213.0,4889720
275.0,8201783
477.0,6537303
429.0,6942304
519.0,8408474
229.0,5139134
192.0,3430750
462.0,2556296
384.0,16694947
358.0,2861581
490.0,3179541
213.0,6764112
275.0,11246986
477.0,9285739
429.0,9761330
519.0,11719402
229.0,7001958
192.0,4865473
462.0,3712555
384.0,23594874
358.0,3998234
490.0,4596479
213.0,8466129
275.0,13257740
477.0,11346242
429.0,11493331
519.0,12175289
229.0,8246869
192.0,6318396
462.0,4835092
384.0,27115031
358.0,5042066
490.0,5919670
213.0,10473739
275.0,14848197
477.0,13130334
429.0,12308707
519.0,12313709
229.0,9821381
192.0,8844580
462.0,6425515
384.0,25300401
358.0,6690313
490.0,7273096
213.0,14447683
275.0,20501863
477.0,17972431
429.0,17601395
519.0,19110457
229.0,13243292
192.0,12266310
462.0,8286289
384.0,34421299
358.0,8236703
490.0,10412351
213.0,20996384
275.0,29590411
477.0,25989490
429.0,26136538
519.0,27981050
229.0,18737323
192.0,16176867
462.0,11092184
384.0,46551467
358.0,10580824
490.0,15674762
213.0,20102957
275.0,29342609
477.0,26190701
429.0,27445045
519.0,29717175
229.0,17918524
192.0,15175395
462.0,11160473
384.0,48248923
358.0,10514582
490.0,16015685
213.0,25123346
275.0,34344902
477.0,31717908
429.0,32968819
519.0,36370960
229.0,21972396
192.0,19944047
462.0,13546232
384.0,54390299
358.0,12689494
490.0,20950964
3.0,0
32.0,3195
19.0,529
27.0,3286
111.0,14
0.0,207
15.0,84
0.0,288
61.0,3747
50.0,2321
14.0,1356
0.0,1292
24.0,1477
60.0,1400
61.0,14224
