State,Brand,Registered Users,TotalUsersByState,BrandUsageRatio
Andaman & Nicobar Islands,Apple,9334,408396,0.022855267926228464
Andaman & Nicobar Islands,Huawei,11497,408396,0.028151597958843866
Andaman & Nicobar Islands,Lenovo,5362,408396,0.013129413608360513
Andaman & Nicobar Islands,Motorola,9491,408396,0.023239698723787696
Andaman & Nicobar Islands,OnePlus,15397,408396,0.03770115280267192
Andaman & Nicobar Islands,Oppo,36007,408396,0.08816687724659399
Andaman & Nicobar Islands,Others,33630,408396,0.0823465459994711
Andaman & Nicobar Islands,Realme,22546,408396,0.05520622141255056
Andaman & Nicobar Islands,Samsung,77065,408396,0.18870165231784836
Andaman & Nicobar Islands,Tecno,1770,408396,0.004334028736814269
Andaman & Nicobar Islands,Vivo,88408,408396,0.21647616529055133
Andaman & Nicobar Islands,Xiaomi,97889,408396,0.23969137797627793
Andhra Pradesh,Apple,4075411,158007957,0.02579244157938198
Andhra Pradesh,Huawei,4030184,158007957,0.025506209158821035
Andhra Pradesh,Lenovo,2774444,158007957,0.017558887872969588
Andhra Pradesh,Motorola,4962253,158007957,0.031405082973131535
Andhra Pradesh,OnePlus,3742856,158007957,0.02368776909127431
Andhra Pradesh,Oppo,16693544,158007957,0.10565002115684592
Andhra Pradesh,Others,11694147,158007957,0.07400986141476407
Andhra Pradesh,Realme,12129196,158007957,0.0767631974382151
Andhra Pradesh,Samsung,31702385,158007957,0.20063790205198337
Andhra Pradesh,Vivo,26141988,158007957,0.16544728820207452
Andhra Pradesh,Xiaomi,40061549,158007957,0.25354133906053855
Arunachal Pradesh,Apple,37607,1862214,0.020194778902961744
Arunachal Pradesh,Gionee,24875,1862214,0.013357755875533102
Arunachal Pradesh,Huawei,18526,1862214,0.009948373280407085
Arunachal Pradesh,Lenovo,2461,1862214,0.0013215452144597776
Arunachal Pradesh,Motorola,20476,1862214,0.010995513942006666
Arunachal Pradesh,OnePlus,20458,1862214,0.010985848028207285
Arunachal Pradesh,Oppo,281975,1862214,0.15141922464335464
Arunachal Pradesh,Others,119649,1862214,0.06425094001011698
Arunachal Pradesh,Realme,126074,1862214,0.06770113424128484
Arunachal Pradesh,Samsung,366963,1862214,0.19705737364234185
Arunachal Pradesh,Vivo,405347,1862214,0.2176693978243102
Arunachal Pradesh,Xiaomi,437803,1862214,0.23509811439501582
Assam,Apple,111898,26860751,0.00416585522869409
Assam,Asus,401058,26860751,0.014931004721349748
Assam,Gionee,408709,26860751,0.015215844113963902
Assam,Huawei,420360,26860751,0.01564959967053788
Assam,Lenovo,287876,26860751,0.010717347404024555
Assam,Motorola,417869,26860751,0.015556862129431899
Assam,Oppo,3564729,26860751,0.13271144205908464
Assam,Others,2886674,26860751,0.10746810467064007
Assam,Realme,2175829,26860751,0.08100402702813485
Assam,Samsung,4102885,26860751,0.15274647384207538
Assam,Vivo,5103507,26860751,0.18999867129552706
Assam,Xiaomi,6979357,26860751,0.2598347678365359
Bihar,Apple,364430,115284760,0.0031611290165326276
Bihar,HMD Global,203177,115284760,0.0017623925313285122
Bihar,Huawei,1865141,115284760,0.01617855647181813
Bihar,Infinix,963683,115284760,0.0083591534561897
Bihar,Lenovo,1638006,115284760,0.01420834809388509
Bihar,Micromax,676482,115284760,0.0058679221780918835
Bihar,Motorola,2097499,115284760,0.018194070057482012
Bihar,Oppo,13582370,115284760,0.11781583272585205
Bihar,Others,10466723,115284760,0.09079017035729614
Bihar,Realme,9985296,115284760,0.08661418907408057
Bihar,Samsung,23305538,115284760,0.2021562780717937
Bihar,Tecno,281017,115284760,0.002437590189718051
Bihar,Vivo,16134084,115284760,0.1399498424596625
Bihar,Xiaomi,33721314,115284760,0.292504525316269
Chandigarh,Apple,307481,3801466,0.0808848481085981
Chandigarh,HMD Global,21678,3801466,0.005702536863410063
Chandigarh,Huawei,51437,3801466,0.013530832578799864
Chandigarh,Lenovo,28906,3801466,0.007603908597367436
Chandigarh,Micromax,6002,3801466,0.0015788645748771658
Chandigarh,Motorola,89006,3801466,0.023413598858966513
Chandigarh,OnePlus,112979,3801466,0.029719850184113182
Chandigarh,Oppo,466439,3801466,0.12269976898386044
Chandigarh,Others,323440,3801466,0.08508296536125799
Chandigarh,Realme,136203,3801466,0.03582907225791313
Chandigarh,Samsung,756667,3801466,0.19904610484481514
Chandigarh,Vivo,604600,3801466,0.15904390569322466
Chandigarh,Xiaomi,896628,3801466,0.2358637430927963
Chhattisgarh,Apple,587820,37448388,0.01569680382504048
Chhattisgarh,Huawei,69286,37448388,0.0018501730969033966
Chhattisgarh,Lenovo,305245,37448388,0.00815108516820537
Chhattisgarh,Micromax,3008142,37448388,0.08032767658784137
Chhattisgarh,Motorola,423386,37448388,0.011305853806043667
Chhattisgarh,OnePlus,538613,37448388,0.014382808680576585
Chhattisgarh,Oppo,4059339,37448388,0.10839823065281208
Chhattisgarh,Others,2944388,37448388,0.07862522680549026
Chhattisgarh,Realme,2533650,37448388,0.06765711784443165
Chhattisgarh,Samsung,6384168,37448388,0.1704791138139244
Chhattisgarh,Vivo,7830978,37448388,0.20911388762581717
Chhattisgarh,Xiaomi,8763373,37448388,0.23401202209291358
Dadra & Nagar Haveli and Daman & Diu,Apple,52547,2701112,0.01945383975192439
