State,District,Population
Andaman & Nicobar Islands,South Andaman,238142
Andhra Pradesh,East Godavari,5151549
Arunachal Pradesh,Papum Pare,176385
Assam,Nagaon,2826006
Bihar,Patna,5772804
Chandigarh,Chandigarh,1055450
Chhattisgarh,Raipur,2160876
Dadra & Nagar Haveli and Daman & Diu,Dadra and Nagar Haveli,343709
Delhi,North West Delhi,3656539
Goa,North Goa,817761
Gujarat,Ahmedabad,7208200
Haryana,Faridabad,1798954
Himachal Pradesh,Kangra,1507223
Jammu & Kashmir,Jammu,1526406
Jharkhand,Ranchi,2912022
Karnataka,Bangalore Urban,9588910
Kerala,Malappuram,4110956
Ladakh,Kargil,143388
Lakshadweep,Lakshadweep,64473
Madhya Pradesh,Indore,3272335
Maharashtra,Pune,9426959
Manipur,Imphal West,514683
Meghalaya,East Khasi Hills,824059
Mizoram,Aizawl,404054
Nagaland,Tuensang,414801
Odisha,Ganjam,3520151
Puducherry,Puducherry,950289
Punjab,Ludhiana,3487882
Rajasthan,Jaipur,6663971
Sikkim,East Sikkim,281293
Tamil Nadu,Chennai,7139882
Telangana,Hyderabad,3943323
Tripura,West Tripura,917534
Uttar Pradesh,Allahabad,5959798
Uttarakhand,Haridwar,1927029
West Bengal,North 24 Parganas,10082852
